,course_number,course_title,description
0,CTC 2012-01,GENERATIVE SYSTEMS,"Generative Systems is an interdisciplinary course designed for students from all majors and varying levels of technical ability, inviting them to develop analog and digital generative systems for their own art and design projects. Students will follow online tutorials as part of their assignments, while the instructor will provide guidance and problem-solving support to ensure students' success. The course is an opportunity for students to explore tools based on their interests, such as Unity, Unreal Engine, Rhino/Grasshopper, SideFX Houdini, Blender geometry nodes, html/css/javascript and p5.js, model training and advanced generative A.I., and Photoshop scripting. Topics encompass randomization & noise, recursion, cellular automata, particle systems, agents, GANs, Diffusion models, LLMs, and more. Featuring guest critics from Generative A.I. research labs, the course enriches students' understanding of the field while delving into a global history of generative art and design, from ancient North African fractal architecture to modernist movements like Neoconcretismo and Nove Tendencije, ultimately showcasing contemporary artists, designers, and tool builders.

Estimated Materials Cost: $100.00

Elective"
1,CTC 2101-01,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
2,CTC 2101-02,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
3,CTC 2101-101,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
4,CTC 2101-102,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
5,CTC 2101-103,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
6,CTC 2101-104,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
7,CTC 2101-105,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
8,CTC 2101-106,INTRODUCTION TO COMPUTATION,"Introduction to Computation focuses on computational techniques, methods, and ideas in the context of art and design. Studio projects first center on the design of algorithms then shift to involve computer programming and scripting. Critical attention is given to code as a body of crafted text with significant aesthetic, philosophical, and social dimensions, as well as the tension, conflict, and potential possible when computation generates, informs, or interacts with drawings, materials, forms, and spaces. Historical and contemporary works of computational art and design will be presented and assigned for analysis. This course is open to students of all majors and is designed for those with little or no experience in programming. In order to conduct work in this course, students will need a laptop computer. This course fulfills one of two core studio requirements for the CTC Concentration.

Estimated Cost of Materials: $250.00

Major Requirement | BFA Art + Computation"
9,CTC 2102-01,INTRODUCTION TO PHYSICAL COMPUTATION,"This course is a practical and conceptual exploration into electronic sensors, processors and actuators in the context of interactive art and design. Students will turn everyday objects into ambient interfaces or ""responsive systems"" that respond to the conditions of the human body, data networks, and the environment. Contemporary works of art and design - from kinetic sculpture and sound art to installation, architecture and product design - will be examined through readings and presentations. Open source hardware (Arduino) and software (Processing) will be taught along with the fundamentals of electronic circuitry. Emphasis is given to the development of creative projects (individual or collaborative), followed by an iterative implementation process (planning, prototyping, testing, analyzing, and refining). The course is structured around a series of tutorials and exercises, culminating in a final project. Students also present work-in-progress and prototypes during class reviews to receive qualitative feedback from the class and the instructor. Participants will engage with physical computing conceptually and technically in their studio work and are encouraged to leverage their individual backgrounds to excel in the respective context.

Prior experience with electronics and programming is recommended but not required.

Estimated Cost of Materials: $200.00

Elective"
